Standard Work Content Title Name,Standard Work Content ID,Standard Work Content UID,Asset Family Name,File code associated,Maintenance Task ID
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-HS",EQ-104423880|EQ-80038457|EQ-71000262|EQ-80012996|EQ-71001202|EQ-71001583|EQ-80018608|EQ-80012969|EQ-05325306|EQ-103216628,I4250025911100|I4250026111100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_PKR-WLAK-76",EQ-44520-000-00001,I4250021611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QHRT-FA",EQ-44920-000-00001,I4250025611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-RSJT",EQ-80040596|EQ-103276520|EQ-103691873|EQ-103391878|EQ-103419701,I4250025311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_PKR-TEST",EQ-69234-9B0-00001|EQ-69162-930-00001|EQ-102763903,I4250027811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-META-BNC",EQ-103628245|EQ-103627831,I4250025011100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_TBSW-54",EQ-44859-000-00001|EQ-100346686|EQ-100219731,I4250020411070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CP-INST-HKIT",EQ-21100_CNS|EQ-21100A_CNS,I4250024611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_EDMC-WMACH",EQ-100872972|EQ-100893827|EQ-100040790,I4250026511100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-PK-MSET-SLB-96",EQ-102711152,I4250027911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ML-SETANC-70",EQ-628356_TIW,I4250025711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_IV-JSUB-45",EQ-101909666,I4250028911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-RT-MOST",EQ-100160926|EQ-100238789|EQ-100237373,I4250019911070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ARCONN",EQ-101022253|EQ-100374018,I4250020311070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SPREADERBEAM",CPL-SPREADERBEAM,I4250019711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QVPKRRT-A",EQ-103340802,I4250021111100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_TSA-300",EQ-103340262,I4250023511100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_RT-HLWM-4P",EQ-101158571,I4250027111100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-CONWPGC350",EQ-103340763|EQ-103354295,I4250023411100
