"S.No","File Code","Asset family linked","Components","Services linked"
"191","7-39PLXS-TOOL","wl_7-39PLXS-TOOL","0","Wireline"
"192","7-39P_LXS","wl_7-39P_LXS","0","Wireline"
"193","7-39P_LXS-TOOL","wl_7-39P_LXS-TOOL","0","Wireline"
"194","7-39ZALXS","wl_7-39ZALXS","0","Wireline"
"195","7-39ZALXS-TOOL","wl_7-39ZALXS-TOOL","0","Wireline"
"196","7-39ZLXS","wl_7-39ZLXS","0","Wireline"
"197","7-39ZLXS-TOOL","wl_7-39ZLXS-TOOL","0","Wireline"
"198","7-42ZVXS","wl_7-42ZVXS","0","Wireline"
"199","7-42ZVXS-TOOL","wl_7-42ZVXS-TOOL","0","Wireline"
"200","7-42ZXS","wl_7-42ZXS","0","Wireline"
"201","7-42ZXS-TOOL","wl_7-42ZXS-TOOL","0","Wireline"
"202","7-46A-XS-CB","wl_7-46A-XS-CB","0","Wireline"
"203","7-46A-XS-CB-TOOL","wl_7-46A-XS-CB-TOOL","0","Wireline"
"204","7-46A-XS-TOOL","wl_7-46A-XS-TOOL","0","Wireline"
"205","7-46AKS18","wl_7-46AKS18","0","Wireline"
"206","7-46AKS18-TOOL","wl_7-46AKS18-TOOL","0","Wireline"
"207","7-46AXS","wl_7-46AXS","0","Wireline"
"208","7-46AXS-TOOL","wl_7-46AXS-TOOL","0","Wireline"
"209","7-46AXXS","wl_7-46AXXS","0","Wireline"
"210","7-46AXXS-TOOL","wl_7-46AXXS-TOOL","0","Wireline"
"211","7-46M18XS","wl_7-46M18XS","0","Wireline"
"212","7-46M18XS-TOOL","wl_7-46M18XS-TOOL","0","Wireline"
"213","7-46P","wl_7-46P","0","Wireline"
"214","7-46P-TOOL","wl_7-46P-TOOL","0","Wireline"
"215","7-46PI-XS","wl_7-46PI-XS","0","Wireline"
"216","7-46PI-XS-TOOL","wl_7-46PI-XS-TOOL","0","Wireline"
"217","7-46PI-XXS","wl_7-46PI-XXS","0","Wireline"
"218","7-46PI-XXS-TOOL","wl_7-46PI-XXS-TOOL","0","Wireline"
"219","7-46PXS","wl_7-46PXS","0","Wireline"
"220","7-46PXS-TOOL","wl_7-46PXS-TOOL","0","Wireline"
"221","7-46V","wl_7-46V","0","Wireline"
"222","7-46V-TOOL","wl_7-46V-TOOL","0","Wireline"
"223","7-46VXS-TOOL","wl_7-46VXS-TOOL","0","Wireline"
"224","7-46ZV","wl_7-46ZV","0","Wireline"
"225","7-46ZV-TOOL","wl_7-46ZV-TOOL","0","Wireline"
"226","7-46ZV-XS","wl_7-46ZV-XS","0","Wireline"
